name sample,ADP (mV),AHP (mV),AI,AP amplitude (mV),AP threshold (mV),AP width (ms),Max number of spikes,Input R (MOhm),Vm (mV),Latency (ms),Rheobase (pA),Sag ratio,Tau (ms),Cell type
04 28 2017 slice 1 cell 3,0.0,-14.94690403342247,128.5535117056857,70.48335298895836,-40.932677686214454,0.5599999999999911,61,201.11396576464185,-77.82736810058357,17.80000000000001,100.0,1.059837893612362,7.817706904582432,SC
09 12 2017 slice 1 cell 7,0.0,-20.77396959066391,110.23421235253288,64.46476094424725,-43.114520609378815,0.4799999999999943,126,139.6371870040894,-74.94083481371402,17.160000000000007,146.40776699029126,1.076860723565967,6.73580010668582,SC
03 17 2017 slice 3 cell 3,0.0,-16.901932656764984,136.4873949579831,58.17750096321106,-38.288895040750496,0.5199999999999927,71,257.24355150759226,-75.67403984278441,16.120000000000008,103.2967032967033,1.083266070453348,12.714474031513452,SC
06 27 2017 slice 1 cell 2,0.0,-19.838258624076843,119.30259006530208,62.99516744911671,-37.585366517305374,0.4800000000000082,67,182.28213003277776,-67.97400209188461,12.880000000000004,135.8974358974359,1.0817936581587684,7.615735464702105,SC
04 17 2017 slice 1 cell 2,0.0,-20.50754055380821,102.68176484725113,67.47992895543575,-37.06376627087593,0.5199999999999927,95,202.38482004404068,-68.8850598603487,14.760000000000007,100.0,1.0595525260050482,8.9435432331065,SC
06 16 2017 slice 1 cell 3,0.0,-22.311098873615265,102.67546660989292,70.98271325230598,-48.952922224998474,0.5599999999999772,103,269.7313144505024,-74.46510272085669,60.80000000000002,20.0,1.0937561523602002,7.827419027691785,SC
10 09 2017 slice 2 cell 2,0.0,-19.962236285209656,147.32613701072012,65.99368155002594,-31.938228756189343,0.5600000000000049,55,135.33910632133484,-64.89345121264458,74.92000000000002,192.25,1.0686104528582276,7.311120492275532,SC
01 19 2017 slice 1 cell 2,0.0,-20.99720388650894,104.09909909909906,69.97376307845116,-37.544604390859604,0.5200000000000066,61,200.71331678330898,-66.73809511139989,11.080000000000007,130.0,1.1024810779985523,9.397458024865786,SC
01 23 2017 slice 3 cell 2,0.0,-15.318766236305235,110.03086419753085,69.11110691726208,-41.058536618947976,0.5599999999999911,62,175.6629099249839,-61.656903460025795,14.40000000000001,90.0,1.0773174692294063,10.209698341234684,SC
06 28 2017 slice 3 cell 2,0.0,-15.769042074680328,115.91975732600734,62.349339947104454,-37.49093040823937,0.4800000000000082,135,120.00932973623276,-67.04044105887414,22.12,147.96116504854368,1.1013887985736437,6.822376920378747,SC
06 28 2017 slice 3 cell 6,0.0,-14.714743942022324,113.31340228399051,67.58593954145907,-39.31970521807671,0.4800000000000082,79,163.81928461790076,-68.36793078422548,13.999999999999998,160.0,1.0429935543342523,7.272510021879049,SC
03 29 2017 slice 4 cell 2,0.0,-14.00526612997055,106.09827323514456,75.42214542627335,-43.280046433210366,0.68,63,208.30894923210133,-64.3074025309086,22.00000000000001,40.0,1.0610265298403234,11.474463285908008,SC
03 28 2017 slice 6 cell 2,0.0,-23.939169943332672,104.84779925956377,59.7826074808836,-36.162164062261574,0.5199999999999927,87,178.19112785160544,-72.44010016530751,144.16,80.0,1.0588638908440804,6.572405607331642,SC
08 31 2017 slice 1 cell 2,0.0,-14.81141522526741,119.22872340425523,56.37498386204243,-40.504887700080864,0.5600000000000049,81,187.0639917254449,-72.51967525184155,17.68,106.94736842105264,1.0939369432321484,8.17441840370479,SC
02 10 2017 slice 4 cell 3,0.0,-21.240670233964924,111.28567839681534,71.46500796079636,-39.16430100798607,0.6400000000000017,65,151.19890648126596,-75.10689304530621,23.64000000000001,150.0,1.027045291616571,8.09893167893352,SC
03 06 2017 slice 6 cell 2,0.0,-18.047843128442768,107.74808868329514,68.9034927636385,-40.49466922879218,0.5200000000000066,77,245.22515438497064,-66.04730843394994,15.28,60.0,1.0969290305438455,11.585809858284394,SC
09 18 2018 slice 5 cell 2,0.0,-12.611739337444305,131.09107037256052,75.06360486149788,-39.24772515892983,0.6400000000000017,63,91.6459824293852,-68.07671859949826,37.72000000000001,200.0,1.1678840006027733,7.649243942437903,NMC
07 27 2018 slice 3 cell 2,0.0,-15.816885977983475,117.68303216667236,78.26447114348413,-39.393700659275055,0.6000000000000172,57,163.2967685461044,-66.21794014513493,33.32000000000001,114.50980392156859,1.1666884229769496,12.038455183775447,NMC
09 17 2018 slice 9 cell 2,0.0,-9.545546025037766,81.58268146261598,74.53527860343456,-47.70847782492638,0.6800000000000139,54,228.99851951003086,-56.31086028188466,76.08000000000001,49.37499999999999,1.15223249327446,11.831248382875645,NMC
07 27 2018 slice 3 cell 6,0.0,-9.964711964130403,118.09101183353272,86.31372824311256,-50.202783197164536,0.7199999999999984,45,204.93256746232524,-66.75912441045045,52.24000000000001,22.666666666666675,1.0972282121444543,13.042096146893305,NMC
09 17 2018 slice 10 cell 7,0.0,-17.571412026882168,122.36580348242872,64.0466995537281,-32.643046230077736,0.5599999999999772,51,128.37860746681685,-63.26485139636695,142.72000000000003,126.42857142857142,1.1190857324020789,9.060858807221429,NMC
09 18 2018 slice 4 cell 2,0.0,-10.435849428176882,134.27615862398466,66.12409092485905,-46.858150511980064,0.68,78,104.44507242739208,-74.83149082034825,19.76,169.0909090909091,1.2735575765549918,7.720076462600974,NMC
05 07 2018 slice 2 cell 2,0.0,-9.535633027553557,120.06172839506159,79.68926057219504,-41.304364800453186,0.6400000000000017,54,317.31115962564945,-43.17927850037814,41.920000000000016,45.0,1.0926856939347744,13.924610576727734,NMC
09 13 2018 slice 2 cell 2,0.0,-17.591308802366257,117.38934056007223,65.66240079700947,-37.76099532842636,0.4799999999999943,91,129.66406606137755,-60.78831932857634,9.400000000000006,168.85714285714286,1.0682493240242197,6.1314088704215015,NMC
09 18 2018 slice 4 cell 7,0.0,-11.111244559288023,126.69114374721849,72.5652016699314,-45.93844711780548,0.6800000000000139,47,115.76087008416664,-77.39104143828153,37.760000000000026,198.46153846153842,1.1554069450705975,9.54841561438625,NMC
07 27 2018 slice 2 cell 2,0.0,-16.031920909881592,155.47847579189977,68.05657222867012,-34.500442445278175,0.6399999999999739,44,110.26990399509673,-57.26252582296729,160.68,130.34482758620692,1.071698858501575,6.428877340582044,NMC
09 17 2018 slice 9 cell 7,0.0,-11.968489736318588,131.92263202384683,70.6231463700533,-52.33908072113991,0.6399999999999739,60,184.27241839468476,-70.79135710678995,31.84000000000001,30.727659574468078,1.2190708911661523,11.446798961467135,NMC
12 15 2017 slice 3 cell 7,0.0,-7.237572222948074,116.51305683563731,70.01833617687225,-45.287851244211204,0.7600000000000107,53,151.17265950143346,-65.27405074596405,108.48000000000002,80.0,1.1671505335506855,9.785296985424985,NMC
09 18 2018 slice 3 cell 2,0.0,-11.56054064631462,113.917289100139,78.35458964109421,-41.136384010314934,0.7199999999999984,48,139.81832686066625,-64.70021021723747,35.68000000000001,170.9090909090909,1.0634665271716828,9.189994613265016,NMC
09 18 2018 slice 3 cell 7,0.0,-11.47029921412468,149.86555762175203,75.09992085397243,-45.83407938480377,0.6400000000000017,71,126.3553456366062,-64.4642357480526,43.00000000000001,56.57142857142857,1.3147354548665409,12.988083217842656,NMC
09 17 2018 slice 10 cell 2,5.138717591762543,-12.782417237758635,130.22827687776146,78.28292250633241,-41.77306219935417,0.7200000000000262,51,190.1856706887484,-69.44086382538082,52.88000000000001,95.23809523809523,1.067297297350149,9.223505305636133,NMC
09 17 2018 slice 10 cell 3,2.9434710741043086,-15.751831233501436,101.73468025030523,68.64932924509047,-37.705779075622566,0.6800000000000139,34,184.45099700987348,-74.10467975169418,132.68,95.0,1.0678126491632904,11.945906977111635,NMC
12 15 2017 slice 2 cell 2,0.0,-10.22682711482048,115.3386062169223,88.06271478533745,-56.17111548781395,0.6800000000000139,42,264.7317544072866,-61.41221240743994,47.48,15.0,1.0466605956149633,14.106033216374454,NMC
09 18 2018 slice 1 cell 2,0.0,-9.21652838587761,134.1000967943973,73.36680963635446,-38.52666169404984,0.7999999999999952,39,154.98181416094297,-56.139449311494815,86.56,34.736842105263165,1.3719735428648527,11.262943554468812,NMC
07 27 2018 slice 5 cell 2,0.0,-15.126824378967285,136.13002285278995,71.5204179286957,-50.78870803117752,0.5999999999999894,58,244.95537798106682,-65.28427356749772,25.480000000000004,20.0,1.1613249945509874,13.170749274596204,NMC
07 17 2017 slice 3 cell 2,5.5111609399318695,-8.322127163410189,159.99999999999997,83.63380655646323,-41.6811965405941,0.7199999999999984,19,336.4537914991376,-68.93952033340932,26.960000000000008,20.0,1.0812146588477611,19.5520743334462,BPC
07 19 2017 slice 1 cell 3,0.0,-16.125168651342392,164.8860398860399,74.53472912311555,-41.81244969367982,0.5600000000000049,27,356.3207323849199,-70.86804725825787,34.16,27.166666666666657,1.1202048409167922,12.726491100438805,BPC
03 17 2017 slice 1 cell 7,0.0,-9.474754333496094,139.80978937409728,86.66911721229553,-30.59001266956329,0.7199999999999984,14,160.66533739864823,-60.101099614053965,31.04000000000001,110.0,1.1404393549691785,11.779529363614893,BPC
10 19 2016 slice 3 cell 7,0.0,-6.178446114063263,177.56701631701634,83.11397209763527,-41.51205718517304,0.7199999999999984,24,317.48552507162094,-69.67093878865242,15.28,36.0,1.0324463058921205,8.440502418426602,BPC
03 06 2017 slice 5 cell 2,5.4382383823394775,-11.053983122110367,168.54242286751355,84.69367772340775,-36.26878187060356,0.9599999999999886,23,304.41990160942083,-79.13670042037963,90.16000000000004,20.0,1.038830516506106,13.709259057529065,BPC
06 22 2017 slice 3 cell 7,0.0,-15.764191746711733,129.03979062307107,71.95087149739265,-39.61742669343949,0.7199999999999984,22,290.04578515887266,-73.55689591795206,95.56,5.0,1.028036903598255,8.14280685863921,BPC
01 30 2017 slice 4 cell 7,0.0,-14.288317412137985,123.3574160645987,90.10647609829904,-40.87314754724503,0.7999999999999952,16,382.17636263370514,-56.288688887953775,49.32,20.0,1.2753592197467791,19.32959019242069,BPC
07 17 2017 slice 3 cell 7,0.0,-5.152408033609389,123.05254378648864,83.68332311511041,-45.1725423336029,0.8799999999999919,29,286.1609266549349,-72.25941976070405,39.31999999999999,18.0,1.0112956567186346,7.2833339498519365,BPC
07 17 2017 slice 4 cell 2,5.961179733276367,-15.760954469442368,191.60991160701354,83.8884636759758,-43.80788281559944,0.6400000000000017,16,407.4922988712788,-71.89263139426706,42.920000000000016,10.0,1.1147717519463114,12.959173818248706,BPC
06 07 2017 slice 1 cell 7,0.0,-6.639223545789719,221.14450823870925,95.08539736270905,-47.399383038282394,1.0799999999999976,17,305.6983284503221,-79.24377530559899,27.60000000000001,30.0,1.0419530814832343,7.752380561399577,BPC
04 05 2017 slice 1 cell 2,0.0,-18.655337393283844,138.1197513360235,84.59474518895148,-34.279052168130875,0.7999999999999952,19,319.19177834689606,-81.72399976670744,29.079999999999995,20.0,1.025910816395271,9.418692543878565,BPC
03 11 2017 slice 3 cell 7,0.0,-9.069893509149553,126.85447454844008,83.03932100534439,-42.005855590105064,1.0400000000000131,12,273.14803554117685,-75.54880906373262,43.24,20.0,1.0284308138288492,15.272357148419946,BPC
04 05 2017 slice 1 cell 7,0.0,-14.483928680419922,143.17194289261332,86.9833193719387,-48.948682844638824,0.7199999999999984,35,291.73563207685953,-63.12615000680089,35.36,22.676056338028175,1.0982718966097242,12.729557706720811,BPC
07 03 2017 slice 2 cell 7,0.0,-9.94712859392166,290.6622006532611,78.79059389233589,-41.02426767349243,0.6400000000000017,10,258.37220609188086,-69.26795950710772,17.640000000000004,68.00000000000001,1.094726528383837,9.782307499269796,BPC
07 17 2017 slice 5 cell 2,0.0,-18.12185347080231,116.78544636159049,75.27720928192139,-43.98585855960846,0.5600000000000049,48,437.5122480839492,-68.73928315222264,66.28,18.0,1.1419163979265192,19.79220496764346,BPC
03 15 2017 slice 2 cell 3,0.0,-19.742637872695926,119.82117916999195,80.11740818619728,-37.36237436532974,0.8400000000000074,15,222.6221419870853,-73.9059895080328,33.72,69.62962962962963,1.06776258817913,9.298310389162973,BPC
03 17 2017 slice 4 cell 3,0.0,-12.341752648353575,140.04197867029734,80.61064407229424,-43.057799339294434,0.7999999999999952,25,393.4156975597144,-66.46181458890439,108.36,10.0,1.065294311114939,15.526549898508673,BPC
03 11 2017 slice 1 cell 7,0.0,-13.50211352109909,117.85129096325731,78.92418652772903,-48.48242551088333,1.16000000000005,13,283.93452075123787,-85.5085220634937,180.16000000000003,20.0,1.0407033173350997,10.575672381528266,BPC
08 06 2017 slice 1 cell 2,4.864096641540527,-6.5331533551216125,195.08708511337485,69.94336843490599,-41.063066571950905,1.2399999999999909,11,262.12274417281145,-75.05154946923255,57.08000000000002,40.0,0.9247605672830967,11.916299472911202,BPC
08 06 2017 slice 3 cell 7,0.0,-7.974307984113692,160.36767286767298,81.41275867819786,-47.645121812820435,0.6799999999999862,3,217.3583673238754,-66.62914426743983,26.40000000000001,20.0,1.082881559426736,6.925814277279398,BPC
07 19 2017 slice 2 cell 2,0.0,-14.412306249141693,126.42806267806263,79.23178747296332,-36.986872553825386,0.6400000000000017,27,226.0154369026424,-78.27745651602746,40.16,38.0,1.04530003375648,7.733108845304818,BPC
02 24 2017 slice 3 cell 2,7.69469141960144,-9.781800210475922,142.16896060749866,81.36100694537163,-33.33812952041626,0.6799999999999862,20,338.17026624083513,-63.75939904153349,36.52,40.0,1.0771049026641932,6.524401834010511,BPC
03 29 2017 slice 1 cell 2,0.0,-7.510501891374588,178.56272343191398,90.90962633490562,-47.78872430324554,0.920000000000004,15,315.4659737795592,-77.02015067845583,29.32000000000001,20.0,1.0507513117871037,10.130437330359477,BPC
07 18 2017 slice 3 cell 6,0.0,-17.11038127541542,132.0463320463319,67.04467721283436,-38.8379544019699,0.8799999999999919,18,413.93450400233286,-80.88766046881676,418.48000000000013,9.263157894736851,1.0435099494656153,17.271177217937847,BPC
03 17 2017 slice 4 cell 2,0.0,-11.44631952047348,218.08401959762313,72.64143973588943,-33.49203988909721,1.0000000000000009,17,286.9787850677968,-70.83803762257098,193.68,44.00000000000002,1.4835481160298454,13.740523187844813,BPC
04 28 2017 slice 3 cell 3,5.064230412244797,-10.378405451774595,206.6761725314455,73.42195138335228,-39.781786501407616,0.8799999999999919,16,382.94845637679083,-80.61727136552335,57.63999999999999,20.0,1.0242758466509252,12.527556499602392,BPC
02 10 2017 slice 4 cell 2,6.009332835674286,-14.09219577908516,149.00141392718268,84.57304537296295,-42.076554149389274,0.8799999999999919,25,442.78033041954046,-75.0143410474062,52.72000000000002,20.0,1.0711926142663235,9.988048356100624,BPC
07 05 2017 slice 1 cell 3,7.549438625574112,-5.761142820119858,262.5465178096759,92.87713095545769,-51.575630903244026,0.7599999999999829,11,393.7734454274176,-77.79834214389325,23.8,32.0,1.0586280653182132,12.139951557831088,BPC
05 08 2017 slice 2 cell 3,0.0,-10.16540825366974,148.43141963450086,84.35067161917685,-44.90212351083756,0.9600000000000024,8,291.836709573865,-74.38117140740157,17.640000000000004,20.0,1.0387999528845533,11.103689808226486,BPC
03 17 2017 slice 3 cell 2,0.0,-11.44307479262352,159.87678855325925,84.03567969799042,-46.53448611497879,0.6799999999999862,25,259.5194514691831,-77.50533892691135,31.76000000000001,20.0,1.0330555467186755,5.348003995607733,BPC
03 29 2017 slice 3 cell 7,4.057295620441437,-10.972585529088974,161.19383490073153,85.66981181502342,-48.75096306204796,0.7199999999999984,37,334.2955034524203,-76.04537636026737,48.56000000000002,10.00000000000002,1.0693862759990251,7.203812827406759,BPC
07 03 2017 slice 3 cell 2,0.0,-12.094948440790176,137.5407640344746,71.84447906911373,-45.966602861881256,0.5600000000000049,30,360.99893204867834,-73.58335884034635,38.88,18.0,1.0654628437858458,8.615311406539508,BPC
03 11 2017 slice 3 cell 2,0.0,-9.806100279092787,131.8146272105218,80.84465190768242,-34.26313027739525,1.0400000000000131,20,346.8724140077828,-69.88374993234874,34.52,20.0,1.0232667084763678,11.387597354586756,BPC
04 28 2017 slice 5 cell 2,8.605517446994781,-7.864415645599365,219.5285760413305,93.31553801894188,-43.158743530511856,0.8399999999999935,35,347.2635190486908,-72.01739747166633,18.84000000000001,7.0,1.0451941157425644,10.699436969238807,BPC
07 17 2017 slice 1 cell 7,5.3813792765140525,-4.787217825651169,393.37505179089334,89.27644044160843,-45.14176771044731,0.9600000000000024,6,258.4503163695335,-77.10399270534515,22.960000000000008,40.0,1.0312419381380509,11.347368338861921,BPC
07 17 2017 slice 1 cell 2,0.0,-6.46108016371727,190.6524846752113,90.23065865039824,-41.355345398187644,0.8799999999999919,16,254.47696721553814,-77.25474007308483,41.16,40.0,1.0229006400732472,7.887257221899088,BPC
11 29 2016 slice 4 cell 3,0.0,-23.386813700199127,115.4063883617963,66.03234261274339,-34.88430380821228,0.5199999999999927,98,203.90059643983838,-63.92345180809498,90.32,60.0,1.0238488048927554,7.7995675336785535,DBC
12 05 2016 slice 1 cell 2,0.0,-17.91265606880188,112.16671864036785,74.45154711604118,-41.28189012408257,0.7199999999999984,58,192.1041358113289,-73.25217131376266,29.880000000000013,100.0,1.0626202217305414,9.700091422524963,DBC
02 12 2017 slice 5 cell 7,0.0,-20.82608640193939,106.5810205661211,65.39821065962315,-41.595999151468284,0.4799999999999943,92,123.78808595240123,-63.84769646018743,16.600000000000005,109.20000000000002,1.077325121148578,6.3021697758159725,DBC
02 12 2017 slice 2 cell 7,0.0,-15.341445803642273,126.89703876875143,63.777437433600426,-41.094839572906494,0.4799999999999943,77,138.1653878390789,-72.25713749825954,13.480000000000004,200.0,1.0585192192435149,8.972486756591556,DBC
03 28 2017 slice 5 cell 2,0.0,-18.805462867021557,115.81955362790279,66.34250283241272,-46.95912823081017,0.4799999999999805,83,139.68624962866312,-74.62534954577684,46.920000000000016,80.0,1.0625435338137397,5.995470638855682,DBC
10 18 2017 slice 2 cell 2,0.0,-18.609054386615753,74.14808117867824,59.377169236540794,-37.45009005069733,0.4799999999999805,99,121.06566900014884,-70.77216246545314,321.56000000000006,183.7241379310345,1.0989529587656348,9.045317580700454,DBC
08 22 2017 slice 5 cell 6,0.0,-18.3868408203125,118.35480309164522,61.67578883469105,-34.437388181686394,0.5199999999999927,103,128.87615691125396,-76.06474300831556,136.0,220.0,1.0392276980546384,5.637764751170371,DBC
07 19 2017 slice 1 cell 7,0.0,-18.45213398337364,119.3634550797648,63.987424597144134,-48.69017377495766,0.4400000000000098,128,119.96104407310486,-73.45402196586132,21.84,109.82608695652172,1.143203341157209,6.681185392928035,DBC
05 16 2017 slice 1 cell 6,0.0,-18.88978108763695,123.05017386984603,66.79627858102322,-46.46077379584312,0.4799999999999805,73,110.4065597057342,-69.06664327859879,27.160000000000014,120.0,1.1232744237333236,8.811324255765289,DBC
11 29 2016 slice 4 cell 7,0.0,-17.306605353951454,105.61342281879196,70.55613212287427,-30.604077503085136,0.5599999999999911,90,158.09846599400043,-60.26671855777503,19.84000000000001,120.0,1.0294127270434854,7.773218420715067,DBC
05 10 2017 slice 3 cell 2,0.0,-19.05135437846184,110.54442001810443,59.69106126576662,-46.75725474953651,0.4800000000000082,106,130.10515417158607,-79.80243541449309,12.28,216.11111111111114,1.0346367798822138,7.054084681957555,DBC
04 03 2017 slice 4 cell 2,0.0,-19.844945520162586,114.39949567169458,60.7434269040823,-37.577088922262185,0.4799999999999943,110,105.50503031909466,-73.35984535589814,16.240000000000006,228.81720430107524,1.0697113370782771,5.312518441420222,DBC
